22.01.2018 23:32:28:128 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
22.01.2018 23:32:28:128 || UGrid.initgrid Grid=GridGRTemplate Width=446
22.01.2018 23:32:28:128 || UDrawTimelines.TTLNames.SetDefaultFonts;
22.01.2018 23:32:28:128 || UDrawTimelines.TTLNames.Draw Start
22.01.2018 23:32:28:128 || UDrawTimelines.TZoneScaler.Draw Height=25
22.01.2018 23:32:28:128 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
22.01.2018 23:32:28:128 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=-1 IDTimeline=1
22.01.2018 23:32:28:128 || UDrawTimelines.TNamesTL.Init Result=152
22.01.2018 23:32:28:128 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
22.01.2018 23:32:28:128 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
22.01.2018 23:32:28:128 || UDrawTimelines.TTLNames.Draw Finish
22.01.2018 23:32:28:128 || UInitForms.InitPanelAir
22.01.2018 23:32:28:128 || UMyFiles.LoadGridFromFile Start FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\ListProjects.prjt Grid=GridProjects
22.01.2018 23:32:28:128 || UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 || UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 || UMyFiles.LoadGridFromFile Finish FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\ListProjects.prjt Grid=GridProjects
22.01.2018 23:32:28:128 || UGrid.findgridselection Grid=GridProjects Cell=2 Result=1
22.01.2018 23:32:28:128 || UCommon.loadoldproject Start
22.01.2018 23:32:28:128 || UCommon.initnewproject Start
22.01.2018 23:32:28:128 || UInitForms.InitPanelPrepare
22.01.2018 23:32:28:128 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
22.01.2018 23:32:28:128 || UGrid.initgrid Grid=GridGRTemplate Width=446
22.01.2018 23:32:28:128 || UDrawTimelines.TTLNames.SetDefaultFonts;
22.01.2018 23:32:28:128 || UDrawTimelines.TTLNames.Draw Start
22.01.2018 23:32:28:128 || UDrawTimelines.TZoneScaler.Draw Height=25
22.01.2018 23:32:28:128 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
22.01.2018 23:32:28:128 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=1 IDTimeline=1
22.01.2018 23:32:28:128 || UDrawTimelines.TNamesTL.Add Result=0 IDTimeline=1
22.01.2018 23:32:28:128 || UDrawTimelines.TNamesTL.Add Result=1 IDTimeline=21
22.01.2018 23:32:28:128 || UDrawTimelines.TNamesTL.Add Result=2 IDTimeline=41
22.01.2018 23:32:28:128 || UDrawTimelines.TNamesTL.Init Result=113
22.01.2018 23:32:28:128 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
22.01.2018 23:32:28:128 || UDrawTimelines.TTimeLineName.Draw Position=0
22.01.2018 23:32:28:128 || UDrawTimelines.TTimeLineName.Draw Position=1
22.01.2018 23:32:28:128 || UDrawTimelines.TTimeLineName.Draw Position=2
22.01.2018 23:32:28:128 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
22.01.2018 23:32:28:128 || UDrawTimelines.TTLNames.Draw Finish
22.01.2018 23:32:28:128 || UGrid.MyGridDeleteRow Grid=GridClips Row=1
22.01.2018 23:32:28:128 || UGrid.GridClear Row=1
22.01.2018 23:32:28:128 || UGrid.MyGridDeleteRow Grid=GridActPlayList Row=1
22.01.2018 23:32:28:128 || UGrid.GridClear Row=1
22.01.2018 23:32:28:128 || UGrid.MyGridDeleteRow Grid=GridLists Row=1
22.01.2018 23:32:28:128 || UGrid.GridClear Row=1
22.01.2018 23:32:28:128 || UCommon.initnewproject Finish
22.01.2018 23:32:28:128 || UGrid.findgridselection Grid=GridProjects Cell=2 Result=1
22.01.2018 23:32:28:128 |2017522182734909| UCommon.UpdateProjectPathes NewProject=2017522182734909
22.01.2018 23:32:28:128 |2017522182734909| UMyFiles.LoadProjectFromDisk Start
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CreateDirectories NewProject=2017522182734909
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Clips
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CreateDirectories DirProject=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CreateDirectories PathProject=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CreateDirectories PathLists=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Lists
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CreateDirectories PathClips=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Clips
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\PlayLists
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Temp
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CreateDirectories PathLog=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\\Log
22.01.2018 23:32:28:128 |2017522182734909| UMyFiles.DeleteFilesMask Dir=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909 Mask=*.*
22.01.2018 23:32:28:128 |2017522182734909| UMyFiles.LoadGridTimelinesFromFile Start FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Lists\Timelines.lst Grid=GridTimeLines
22.01.2018 23:32:28:128 |2017522182734909| UMyFiles.LoadGridTimelinesFromFile Finish FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Lists\Timelines.lst Grid=GridTimeLines
22.01.2018 23:32:28:128 |2017522182734909| UMyFiles.LoadProjectFromDisk Finish
22.01.2018 23:32:28:128 |2017522182734909| UMyFiles.LoadGridFromFile Start FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Temp\PlayLists.lst Grid=GridLists
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UMyFiles.LoadGridFromFile Finish FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Temp\PlayLists.lst Grid=GridLists
22.01.2018 23:32:28:128 |2017522182734909| UMyFiles.LoadGridFromFile Start FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Temp\ImageTemplates.lst Grid=GridGRTemplate
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UMyFiles.LoadGridFromFile Finish FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Temp\ImageTemplates.lst Grid=GridGRTemplate
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201752614713643.jpeg Width=128 Height=80
22.01.2018 23:32:28:128 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201752614713643.jpeg
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\20175261472191.jpeg Width=128 Height=80
22.01.2018 23:32:28:128 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\20175261472191.jpeg
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201752614749387.jpeg Width=128 Height=80
22.01.2018 23:32:28:128 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201752614749387.jpeg
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\20175261480899.jpeg Width=128 Height=80
22.01.2018 23:32:28:128 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\20175261480899.jpeg
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201753113418392.jpeg Width=128 Height=80
22.01.2018 23:32:28:128 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201753113418392.jpeg
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201753113457723.jpeg Width=128 Height=80
22.01.2018 23:32:28:128 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201753113457723.jpeg
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201753113526744.jpeg Width=128 Height=80
22.01.2018 23:32:28:128 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201753113526744.jpeg
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\20176321422664.jpeg Width=128 Height=80
22.01.2018 23:32:28:128 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\20176321422664.jpeg
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\20176321440111.jpeg Width=128 Height=80
22.01.2018 23:32:28:128 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\20176321440111.jpeg
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201764155155639.jpeg Width=128 Height=80
22.01.2018 23:32:28:128 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Templates\201764155155639.jpeg
22.01.2018 23:32:28:128 |2017522182734909| UMyFiles.LoadGridFromFile Start FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Temp\Clips.lst Grid=GridClips
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UMyFiles.LoadGridFromFile Finish FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Temp\Clips.lst Grid=GridClips
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CheckedClipsInList Start Grid=GridClips
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridClips File=ÃÂ‰Ë‡-‰‡ÌÌ˚Â ÌÂ Á‡‰‡Ì˚.ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CheckedClipsInList Grid=GridClips File=C:\‡Ï\Clips\Zaz-Francuzskaya-pesnya-Les-Passants(muzofon.com).mp3Õ‡È‰ÂÌ
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CheckedClipsInList Grid=GridClips File=C:\¿–Ã\Clips\√Û‰·‡È, ¿ÏÂËÍ‡! ¬.¡ÛÚÛÒÓ‚. Goodbye, America. V. Butusov. old.aviÕ‡È‰ÂÌ
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CheckedClipsInList Grid=GridClips File=C:\¿–Ã\Clips\√Û‰·‡È, ¿ÏÂËÍ‡! ¬.¡ÛÚÛÒÓ‚. Goodbye, America. V. Butusov. old.aviÕ‡È‰ÂÌ
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridClips File=ÃÂ‰Ë‡-‰‡ÌÌ˚Â ÌÂ Á‡‰‡Ì˚.ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CheckedClipsInList Grid=GridClips File=C:\‡Ï\Clips\ÚË ÏËÌÛÚ˚ (1).movÕ‡È‰ÂÌ
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridClips File=ÃÂ‰Ë‡-‰‡ÌÌ˚Â ÌÂ Á‡‰‡Ì˚.ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridClips File=ÃÂ‰Ë‡-‰‡ÌÌ˚Â ÌÂ Á‡‰‡Ì˚.ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridClips File=ÃÂ‰Ë‡-‰‡ÌÌ˚Â ÌÂ Á‡‰‡Ì˚.ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CheckedClipsInList Finish Grid=GridClips
22.01.2018 23:32:28:128 |2017522182734909| UGrid.findgridselection Grid=GridLists Cell=2 Result=3
22.01.2018 23:32:28:128 |2017522182734909| Uplaylists.PlaylistToPanel ARow=3
22.01.2018 23:32:28:128 |2017522182734909| Uplaylists.PlaylistToPanel Name=¬ÒÂ ÌÓÏÂ‡  ClipID=PL2017525105553721.plst
22.01.2018 23:32:28:128 |2017522182734909| Uplaylists.PlaylistToPanel Name=ŒÒÌÓ‚ÌÓÈ  ClipID=PL2017529211631348.plst
22.01.2018 23:32:28:128 |2017522182734909| Uplaylists.PlaylistToPanel Name=ƒÓÔÓÎÌËÚÂÎ¸Ì˚È  ClipID=PL2017529212615561.plst
22.01.2018 23:32:28:128 |2017522182734909| UMyFiles.LoadGridFromFile Start FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\PlayLists\PL2017529212615561.plst Grid=GridActPlayList
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
22.01.2018 23:32:28:128 |2017522182734909| UMyFiles.LoadGridFromFile Finish FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\PlayLists\PL2017529212615561.plst Grid=GridActPlayList
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CheckedClipsInList Start Grid=GridActPlayList
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CheckedClipsInList Grid=GridActPlayList File=C:\‡Ï\Clips\Zaz-Francuzskaya-pesnya-Les-Passants(muzofon.com).mp3Õ‡È‰ÂÌ
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridActPlayList File=ÃÂ‰Ë‡-‰‡ÌÌ˚Â ÌÂ Á‡‰‡Ì˚.ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
22.01.2018 23:32:28:128 |2017522182734909| UCommon.CheckedClipsInList Finish Grid=GridActPlayList
22.01.2018 23:32:28:128 |2017522182734909| UCommon.loadoldproject Finish
22.01.2018 23:32:28:128 |2017522182734909| UCommon.UpdateProjectPathes NewProject=2017522182734909
22.01.2018 23:32:28:128 |2017522182734909| UInitForms.UpdatePanelAir
22.01.2018 23:32:28:128 |2017522182734909| Form1.Create Finish
22.01.2018 23:32:29:129 |2017522182734909| Message:WMEraseBackGround
22.01.2018 23:32:29:129 |2017522182734909| UInitForms.InitNewProject
22.01.2018 23:32:29:129 |2017522182734909| UInitForms.InitPlaylists
22.01.2018 23:32:29:129 |2017522182734909| UInitForms.InitEditTimeline
22.01.2018 23:32:29:129 |2017522182734909| UInitForms.InitFrButtonOptions
22.01.2018 23:32:29:129 |2017522182734909| UGrid.initgrid Grid=StringGrid1 Width=512
22.01.2018 23:32:29:129 |2017522182734909| UInitForms.InitImportFiles
22.01.2018 23:32:29:129 |2017522182734909| UInitForms.InitTextTemplates
22.01.2018 23:32:29:129 |2017522182734909| UInitForms.InitMyMessage
22.01.2018 23:32:29:129 |2017522182734909| UInitForms.InitImageTemplate
22.01.2018 23:32:29:129 |2017522182734909| UInitForms.InitFrSetTemplate
22.01.2018 23:32:29:129 |2017522182734909| UInitForms.InitFrSetEventData
22.01.2018 23:32:29:129 |2017522182734909| UInitForms.InitFrSortGrid
22.01.2018 23:32:29:129 |2017522182734909| UInitForms.InitFrShiftTL
22.01.2018 23:32:29:129 |2017522182734909| UInitForms.InitFrShortNum
22.01.2018 23:32:29:129 |2017522182734909| UInitForms.InitFrMediaCopy
22.01.2018 23:32:29:129 |2017522182734909| UInitForms.InitFPageSetup
22.01.2018 23:32:29:129 |2017522182734909| UInitForms.InitfrMyPrint
22.01.2018 23:32:29:129 |2017522182734909| UInitForms.InitFrLTC
22.01.2018 23:32:29:129 |2017522182734909| UInitForms.InitfrTimeCode
22.01.2018 23:32:29:129 |2017522182734909| UInitForms.InitfrMyTextTemplate
22.01.2018 23:32:29:129 |2017522182734909| UInitForms.InitfrNewList
22.01.2018 23:32:29:129 |2017522182734909| Message:WMEraseBackGround
22.01.2018 23:32:30:130 |2017522182734909| TForm1.SpeedButton1Click Input=Yes User=Demo
22.01.2018 23:32:31:131 |2017522182734909| TForm1.sbClipsClick
22.01.2018 23:32:31:131 |2017522182734909| UCommon.SetMainGridPanel Start
22.01.2018 23:32:31:131 |2017522182734909| Message:WMEraseBackGround
22.01.2018 23:32:31:131 |2017522182734909| UCommon.SetMainGridPanel MainGrid=clips
22.01.2018 23:32:31:131 |2017522182734909| UCommon.CheckedClipsInList Start Grid=GridClips
22.01.2018 23:32:31:131 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridClips File=ÃÂ‰Ë‡-‰‡ÌÌ˚Â ÌÂ Á‡‰‡Ì˚.ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
22.01.2018 23:32:31:131 |2017522182734909| UCommon.CheckedClipsInList Grid=GridClips File=C:\‡Ï\Clips\Zaz-Francuzskaya-pesnya-Les-Passants(muzofon.com).mp3Õ‡È‰ÂÌ
22.01.2018 23:32:31:131 |2017522182734909| UCommon.CheckedClipsInList Grid=GridClips File=C:\¿–Ã\Clips\√Û‰·‡È, ¿ÏÂËÍ‡! ¬.¡ÛÚÛÒÓ‚. Goodbye, America. V. Butusov. old.aviÕ‡È‰ÂÌ
22.01.2018 23:32:31:131 |2017522182734909| UCommon.CheckedClipsInList Grid=GridClips File=C:\¿–Ã\Clips\√Û‰·‡È, ¿ÏÂËÍ‡! ¬.¡ÛÚÛÒÓ‚. Goodbye, America. V. Butusov. old.aviÕ‡È‰ÂÌ
22.01.2018 23:32:31:131 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridClips File=ÃÂ‰Ë‡-‰‡ÌÌ˚Â ÌÂ Á‡‰‡Ì˚.ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
22.01.2018 23:32:31:131 |2017522182734909| UCommon.CheckedClipsInList Grid=GridClips File=C:\‡Ï\Clips\ÚË ÏËÌÛÚ˚ (1).movÕ‡È‰ÂÌ
22.01.2018 23:32:31:131 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridClips File=ÃÂ‰Ë‡-‰‡ÌÌ˚Â ÌÂ Á‡‰‡Ì˚.ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
22.01.2018 23:32:31:131 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridClips File=ÃÂ‰Ë‡-‰‡ÌÌ˚Â ÌÂ Á‡‰‡Ì˚.ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
22.01.2018 23:32:31:131 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridClips File=ÃÂ‰Ë‡-‰‡ÌÌ˚Â ÌÂ Á‡‰‡Ì˚.ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
22.01.2018 23:32:31:131 |2017522182734909| UCommon.CheckedClipsInList Finish Grid=GridClips
22.01.2018 23:32:31:131 |2017522182734909| UMyFiles.SaveGridToFile Start FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\PlayLists\PL2017529212615561.plst Grid=GridActPlayList
22.01.2018 23:32:31:131 |2017522182734909| UMyFiles.SaveGridToFile Finish FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\PlayLists\PL2017529212615561.plst Grid=GridActPlayList
22.01.2018 23:32:31:131 |2017522182734909| UCommon.SetMainGridPanel Finish
22.01.2018 23:32:32:132 |2017522182734909| TForm1.GridClipsMouseUp X=182 Y=132
22.01.2018 23:32:32:132 |2017522182734909| UGrid.GridColX-1 Grid=GridClips X=182 Result=3
22.01.2018 23:32:32:132 |2017522182734909| UGrid.GridClickRow-4 Grid=GridClips Y=132 Result=-1
22.01.2018 23:32:32:132 |2017522182734909| UGrid.GridClickRow-4 Grid=GridClips Y=132 Result=-1
22.01.2018 23:32:32:132 |2017522182734909| UGrid.GridClickRow-2 Grid=GridClips Y=132 Result=3
22.01.2018 23:32:32:132 |2017522182734909| UMyFiles.SaveGridToFile Start FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\PlayLists\PL2017529212615561.plst Grid=GridActPlayList
22.01.2018 23:32:32:132 |2017522182734909| UMyFiles.SaveGridToFile Finish FileName=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\PlayLists\PL2017529212615561.plst Grid=GridActPlayList
22.01.2018 23:32:33:133 |2017522182734909| TForm1.GridClipsMouseUp X=84 Y=146
22.01.2018 23:32:33:133 |2017522182734909| UGrid.GridColX-1 Grid=GridClips X=84 Result=2
22.01.2018 23:32:33:133 |2017522182734909| UGrid.GridClickRow-4 Grid=GridClips Y=146 Result=-1
22.01.2018 23:32:33:133 |2017522182734909| UGrid.GridClickRow-4 Grid=GridClips Y=146 Result=-1
22.01.2018 23:32:33:133 |2017522182734909| UGrid.GridClickRow-2 Grid=GridClips Y=146 Result=3
22.01.2018 23:32:33:133 |2017522182734909| UCommon.PlayClipFromClipsList PredClipID=2017523115073
22.01.2018 23:32:33:133 |2017522182734909| UActPlayList.LoadClipsToPlayer Start
22.01.2018 23:32:33:133 |2017522182734909| UActPlayList.LoadClipsToPlayer - Œ˜ËÒÚÍ‡ Ô‡ÏˇÚË
22.01.2018 23:32:33:133 |2017522182734909| TForm1.Label2Click Start
22.01.2018 23:32:33:133 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer Start
22.01.2018 23:32:33:133 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer - Œ˜ËÒÚÍ‡ Ô‡ÏˇÚË
22.01.2018 23:32:33:133 |2017522182734909| UMyFiles.DeleteFilesMask Dir=G:\home\ARM_editor\¿–Ã –≈ƒ¿ “Œ–¿ VLC\Projects\2017522182734909\Temp Mask=*.undo
22.01.2018 23:32:33:133 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer-Œ˜ËÒÚÍ‡ UNDO
22.01.2018 23:32:33:133 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer |  | File:  | Clip:  | ClipID= | Start= | Duration= 00:07:00:00
